127.0.0.1 - - [27/Feb/2019:20:03:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:03:32 +0530] "GET /otp/ HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:03:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:04:15 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:04:23 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:06:13 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:06:18 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:06:43 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:06:59 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:06:59 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:06:59 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:07:19 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:07:23 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:07:34 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:08:29 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:08:34 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [27/Feb/2019:20:08:51 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 30
