127.0.0.1 - - [04/Feb/2019:11:22:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:22:36 +0530] "GET /otp/index.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:22:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:22:58 +0530] "POST /otp/process1.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:23:03 +0530] "POST /otp/process1.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:28:07 +0530] "GET /otp/ HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:28:19 +0530] "POST /otp/process1.jsp HTTP/1.1" 500 2786
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:29:53 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:30:04 +0530] "POST /otp/process1.jsp HTTP/1.1" 500 4530
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:31:15 +0530] "POST /otp/process1.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:34:04 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:36:20 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:36:43 +0530] "POST /otp/process1.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:38:22 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:38:42 +0530] "POST /otp/process1.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:41:02 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:41:13 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:41:18 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 500 2871
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:42:36 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:42:41 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:43:12 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:43:47 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:44:18 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:44:24 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:44:28 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [04/Feb/2019:11:44:57 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Feb/2019:12:03:41 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:12:03:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Feb/2019:12:03:55 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:12:04:00 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [04/Feb/2019:12:05:20 +0530] "POST /otp/process1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2019:12:05:25 +0530] "GET /otp/mailJSP1.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [04/Feb/2019:12:05:55 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 30
