127.0.0.1 - - [29/Jan/2019:11:02:36 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:02:36 +0530] "GET /pdfapi/ HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:02:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:03:50 +0530] "POST /pdfapi/UploadServlet.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:08:35 +0530] "GET /pdfapi/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:08:45 +0530] "POST /pdfapi/UploadServlet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:08:45 +0530] "GET /pdfapi/show.jsp?pdf=Abhishek.pdf HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:08:45 +0530] "GET /pdfapi/Abhishek.pdf HTTP/1.1" 200 111204
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:09:48 +0530] "GET /pdfapi/show.jsp?pdf=Abhishek.pdf HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:09:48 +0530] "GET /pdfapi/Abhishek.pdf HTTP/1.1" 200 111204
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:10:10 +0530] "GET /pdfapi/show.jsp?pdf=Abhishek.pdf HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:10:10 +0530] "GET /pdfapi/Abhishek.pdf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:10:39 +0530] "GET /pdfapi/show.jsp?pdf=Abhishek.pdf HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [29/Jan/2019:11:10:39 +0530] "GET /pdfapi/Abhishek.pdf HTTP/1.1" 304 -
